URL,creator_name,total_post,patreon_number,income_per_month,tier_post_data,post_year_count,tier_count,total_links,facebook,twitter,instagram,youtube,twitch,tiktok,discord,social_link_count,text_posts,image_posts,video_posts,podcast_posts,audio_posts,link_posts,poll_posts,livestream_posts,other_posts,unknown,public_likes,public_comments,locked_likes,locked_comments,total_likes_combined,total_comments_combined,free_chat_count,paid_chat_count,membership_tier_count,membership_tiers_json,about_word_count,about_total_members,about_paid_members
https://www.patreon.com/ReelReviewHQ,Reel Review HQ,103,853,0,{},"{'2025': 90, '2024': 13}",0,5,no,no,yes,yes,yes,no,no,3,2,13,85,0,0,1,2,0,0,0,83.0,49.0,2932.0,2370.0,0,0,0,0,2,"[{""name"": ""The Reel One"", ""price"": 5.0, ""description_word_count"": 167, ""tier_id"": ""24405206""}, {""name"": ""The Reelist"", ""price"": 10.0, ""description_word_count"": 113, ""tier_id"": ""25800991""}]",201,1686,853
https://www.patreon.com/wickedandgrim,Wicked and Grim,594,321,0,{},"{'2025': 32, '2024': 145, '2023': 201, '2022': 169, '2021': 47}",0,1,no,no,yes,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,429.0,340.0,0,0,1,0,2,"[{""name"": ""Official Patron"", ""price"": 3.0, ""description_word_count"": 60, ""tier_id"": ""7694427""}, {""name"": ""All-access Patron"", ""price"": 5.0, ""description_word_count"": 95, ""tier_id"": ""7694428""}]",71,746,321
https://www.patreon.com/thepoisonerscabinet,The Poisoners' Cabinet,777,651,0,{},"{'2025': 79, '2024': 188, '2023': 166, '2022': 242, '2021': 61, '2020': 41}",0,2,no,no,yes,no,no,yes,no,2,0,0,0,0,0,0,0,0,0,0,0,0,877.0,412.0,0,0,0,0,2,"[{""name"": ""Arsenic Aficionado"", ""price"": 5.0, ""description_word_count"": 96, ""tier_id"": ""5512920""}, {""name"": ""Cyanide Connoisseurs"", ""price"": 15.0, ""description_word_count"": 173, ""tier_id"": ""8824206""}]",183,1133,651
https://www.patreon.com/womenandcrime,Women and Crime Podcast,470,979,0,{},"{'2025': 64, '2024': 119, '2023': 114, '2022': 81, '2021': 45, '2020': 44, '2019': 3}",0,1,no,no,yes,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,32.0,10.0,269.0,103.0,0,0,1,0,4,"[{""name"": ""Miss-Conduct"", ""price"": 2.0, ""description_word_count"": 14, ""tier_id"": ""7501230""}, {""name"": ""Miss-Demeanor"", ""price"": 5.0, ""description_word_count"": 31, ""tier_id"": ""4180040""}, {""name"": ""Fem-Fatale"", ""price"": 10.0, ""description_word_count"": 42, ""tier_id"": ""4180089""}, {""name"": ""Lifer"", ""price"": 15.0, ""description_word_count"": 61, ""tier_id"": ""4180115""}]",64,2014,979
https://www.patreon.com/wifeofcrimepod,Wife of Crime-The Crime Family,432,814,0,{},"{'2025': 40, '2024': 71, '2023': 67, '2022': 122, '2021': 132}",0,2,no,yes,yes,no,no,no,no,2,0,0,0,0,0,0,0,0,0,0,0,0,978.0,494.0,0,0,0,0,4,"[{""name"": ""Russ's Beer Fund"", ""price"": 2.0, ""description_word_count"": 37, ""tier_id"": ""6449232""}, {""name"": ""The Associate"", ""price"": 5.0, ""description_word_count"": 54, ""tier_id"": ""6449150""}, {""name"": ""Made Man"", ""price"": 10.0, ""description_word_count"": 64, ""tier_id"": ""6449172""}, {""name"": ""Consigliere \""The Right-Hand Man\"""", ""price"": 15.0, ""description_word_count"": 99, ""tier_id"": ""6449226""}]",47,1740,814
https://www.patreon.com/Resilientflexibility,Darcy Rosario Resilient Flexibility,272,434,0,{},"{'2025': 62, '2024': 117, '2023': 92, '2021': 1}",0,3,no,no,yes,no,no,no,no,1,80,17,166,0,0,9,0,0,0,0,13.0,7.0,154.0,59.0,0,0,0,0,2,"[{""name"": ""Tip Jar Tier"", ""price"": 3.0, ""description_word_count"": 103, ""tier_id"": ""10209073""}, {""name"": ""VIP Patron"", ""price"": 10.0, ""description_word_count"": 96, ""tier_id"": ""8755346""}]",134,1210,434
https://www.patreon.com/djbrandonwade,DJ Brandon Wade,208,1048,0,{},"{'2025': 25, '2024': 54, '2023': 52, '2022': 59, '2021': 18}",0,1,no,no,yes,no,no,no,no,1,208,0,0,0,0,0,0,0,0,0,0,0,217.0,169.0,0,0,0,0,1,"[{""name"": ""Gym Rocker"", ""price"": 10.0, ""description_word_count"": 287, ""tier_id"": ""5530220""}]",358,1844,1048
https://www.patreon.com/TheUnderworldPodcast,The Underworld Podcast,422,574,0,{},"{'2025': 32, '2024': 96, '2023': 70, '2022': 97, '2021': 102, '2020': 25}",0,2,no,no,yes,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,9.0,1.0,345.0,104.0,0,0,0,0,8,"[{""name"": ""Basic Patron"", ""price"": 3.0, ""description_word_count"": 26, ""tier_id"": ""6032540""}, {""name"": ""Official Patron"", ""price"": 5.0, ""description_word_count"": 36, ""tier_id"": ""5822021""}, {""name"": ""More Official Patron"", ""price"": 10.0, ""description_word_count"": 40, ""tier_id"": ""5822022""}, {""name"": ""VIP Patron"", ""price"": 15.0, ""description_word_count"": 44, ""tier_id"": ""5822023""}, {""name"": ""Codefendant"", ""price"": 25.0, ""description_word_count"": 39, ""tier_id"": ""5822076""}, {""name"": ""Partner in Crime"", ""price"": 50.0, ""description_word_count"": 73, ""tier_id"": ""5822105""}, {""name"": ""OG"", ""price"": 100.0, ""description_word_count"": 52, ""tier_id"": ""5822118""}, {""name"": ""La Familia"", ""price"": 500.0, ""description_word_count"": 47, ""tier_id"": ""5822130""}]",321,900,574
https://www.patreon.com/crimeandcoffeecouple,Crime and Coffee Couple - A True Crime Podcast,156,336,0,{},"{'2025': 43, '2024': 64, '2023': 28, '2022': 21}",0,2,no,yes,yes,no,no,no,no,2,0,0,0,0,0,0,0,0,0,0,0,0,293.0,187.0,0,0,1,0,4,"[{""name"": ""Ad-free Sundays"", ""price"": 3.0, ""description_word_count"": 36, ""tier_id"": ""25285324""}, {""name"": ""Cup of coffee"", ""price"": 5.0, ""description_word_count"": 66, ""tier_id"": ""8379657""}, {""name"": ""Bag of coffee/K-cups/Nespresso pods"", ""price"": 10.0, ""description_word_count"": 61, ""tier_id"": ""8379674""}, {""name"": ""Fill the tip jar"", ""price"": 25.0, ""description_word_count"": 47, ""tier_id"": ""8380628""}]",43,880,336
https://www.patreon.com/FowlerFitness,Fowler Fitness,145,812.0,14240.0,{},"{'2025': 34, '2024': 111}",0,0,no,no,no,no,no,no,no,0,2,143,0,0,0,0,0,0,0,0,0,0,215.0,128.0,0,0,9,0,1,"[{""name"": """", ""price"": 20.0, ""description_word_count"": 68, ""tier_id"": ""22283565""}]",0,,
